ID,Americas,EU,APAC,"missing
completely",Dupes,Database,,Schema,Type,Name,"comments
in column
AF?","# queries
","# users
","storage
in GB","mapped
AURORA
source product","mapped
AURORA
data product",comments,Data Model Availability,UAT Start Date,Go-live Date,,PRE-FILTER
ENRICH;MAESTRO__BRIEF_DOC_JOURNEY,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,MAESTRO__BRIEF_DOC_JOURNEY,no,22568,15,0.001,SFMC,Newsletter 1.0 (SFMC),,Available,Completed,2/11/25,,SFMC
ANALYTICS;DIM_PCMDTY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_PCMDTY,no,22169,53,2.623,,,,,,,,MarketData
MODEL;S_VAULT_REGION,0,0,0,1,,CPH_DB_PROD,,MODEL,BASE TABLE,S_VAULT_REGION,no,22085,15,0,Vault,,,,,,,Veeva
ANALYTICS;DIM_EVENT,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_EVENT,no,21514,101,0.49,Vault CRM,Events 1.0 (Vault CRM + CVENT),,Available,9/8/25,9/29/25,,Veeva
ENRICH;BV_VEEVA_CRM_EM_EVENT_VOD__C_EC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_EM_EVENT_VOD__C_EC1,no,21512,24,0.855,Vault CRM,,,,,,,Veeva
ANALYTICS;DIM_SPEAKER,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_SPEAKER,no,21482,15,0.027,Vault CRM,Events 1.0 (Vault CRM + CVENT),,Available,9/8/25,9/29/25,,Veeva
ENRICH;BV_VEEVA_CRM_RECORDTYPE_AC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_RECORDTYPE_AC1,yes,21287,22,0.001,Vault CRM,will not be covered by Aurora,GB: Vault does not work with RTs anymore,,,,,Veeva
ANALYTICS;WEB_DATA_ANALYSIS__USER_ACTIVITY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,WEB_DATA_ANALYSIS__USER_ACTIVITY,no,21243,35,2.304,Google Analytics,Website 1.0,,11/20/26,1/12/26,1/26/26,,Google
ANALYTICS;DIM_VAULT_REGION,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,DIM_VAULT_REGION,no,21134,9,0,Vault,,,,,,,Veeva
ENRICH;BV_VEEVA_LINK_PAYMENT,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_LINK_PAYMENT,no,21095,21,13.318,Veeva Link,Scientific Engagement 1.0,,tbd,11/27/25,12/22/25,,Veeva
ENRICH;BV_VEEVA_CRM_RECORDTYPE_PC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_RECORDTYPE_PC1,yes,21070,20,0.001,Vault CRM,will not be covered by Aurora,GB: Vault does not work with RTs anymore,,,,,Veeva
ENRICH;BV_VEEVA_CRM_ADDRESS_VOD__C_MEC1,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ADDRESS_VOD__C_MEC1,no,21028,16,8.664,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;BV_VEEVA_CRM_BPH_SALES_DATA__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_BPH_SALES_DATA__C_EC2,no,20378,4,0.087,Vault CRM,,,,,,,Veeva
ENRICH;BV_VEEVA_LINK_COMPANY_COLLABORATION,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_LINK_COMPANY_COLLABORATION,no,20276,24,1.48,Veeva Link,Scientific Engagement 1.0,,tbd,11/27/25,12/22/25,,Veeva
ENRICH;BV_VEEVA_CRM_ADDRESS_VOD__C_EC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ADDRESS_VOD__C_EC2,no,20212,25,18.49,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;BV_VEEVA_CRM_ADDRESS_VOD__C_PC2,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,BV_VEEVA_CRM_ADDRESS_VOD__C_PC2,no,20192,12,2.45,Vault CRM,Customer 0.1 (Veeva CRM),,Available,Completed,2/19/25,,Veeva
ENRICH;SAP_ELSA_SCL_MM_ALL_MCH1_PH_CDP_INTFC,0,0,0,1,,CPH_DB_PROD,,ENRICH,BASE TABLE,SAP_ELSA_SCL_MM_ALL_MCH1_PH_CDP_INTFC,no,20014,22,0.767,SAP,SAP CORE 1.0,,tbd,NN,tbd,,SAP
ANALYTICS;MAP_ACCOUNT_DETAIL,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,MAP_ACCOUNT_DETAIL,yes,19442,140,6.782,Vault CRM,Customer 2.0 (Vault CRM + Segmentation),Veeva CRM?,Available,8/25/25,9/15/25,,Veeva
ANALYTICS;MAP_ACCOUNT_TERRITORY,0,0,0,1,,CPH_DB_PROD,,ANALYTICS,BASE TABLE,MAP_ACCOUNT_TERRITORY,yes,19100,88,3.838,Vault Align,Territory & Alignment 1.0 (Veeva Align),Customer (CRM) + Territory (CRM),9/8/25,10/6/25,10/27/25,,Veeva
